model,dataset,method,layer,auroc,auroc_std,accuracy,f1,auprc
mistral-7b,fever,probe_mlp,13,0.9332916406087138,0.006799877602793471,0.8416666666666668,0.8415448849053185,0.937671666070654
mistral-7b,fever,probe_mlp,14,0.9539295392953931,0.010955750130057057,0.875,0.8711613577598062,0.956427240935534
mistral-7b,fever,probe_mlp,15,0.959349593495935,0.010326842673755122,0.9,0.9040410853866225,0.9508198737163237
mistral-7b,fever,probe_mlp,16,0.954763393787784,0.014445792069268616,0.875,0.8730455153949129,0.9506916232697727
mistral-7b,fever,probe_mlp,17,0.950177194079633,0.01284041158593663,0.8791666666666665,0.8781215202130235,0.9510933927849256
mistral-7b,fever,probe_mlp,18,0.9491348759641443,0.014318886605023463,0.8583333333333333,0.8572971561040911,0.9512452560386667
mistral-7b,fever,probe_mlp,19,0.9453825307483844,0.01430066532094433,0.8625000000000002,0.8598595848595849,0.9489965206461216
mistral-7b,fever,probe_mlp,20,0.9472587033562644,0.013061872168288921,0.8708333333333332,0.8716682103529897,0.9443105785300907
mistral-7b,fever,probe_mlp,21,0.9453825307483844,0.01218398098495099,0.8458333333333333,0.8418014733804208,0.9428753787633785
mistral-7b,fever,probe_mlp,22,0.9420471127788201,0.015012275911935657,0.8375,0.8406604584150051,0.9424246584920422
mistral-7b,fever,probe_mlp,23,0.9405878674171356,0.015173517102420587,0.8541666666666666,0.8504911538044068,0.9393918631091486
mistral-7b,fever,probe_mlp,24,0.9432978945174068,0.020260690956544185,0.8875000000000001,0.8902630291519181,0.9438917110407692
mistral-7b,fever,probe_mlp,25,0.9480925578486553,0.012392632018096194,0.8708333333333332,0.8718250111138738,0.9467454107098928
mistral-7b,fever,probe_mlp,26,0.949343339587242,0.015928039603829977,0.8624999999999999,0.8666161424782115,0.9475268759163615
mistral-7b,fever,probe_mlp,27,0.9483010214717532,0.015774512747460948,0.8541666666666666,0.8569076937453725,0.9467733941666063
mistral-7b,fever,probe_mlp,28,0.9462163852407754,0.015070060097500768,0.8708333333333332,0.8703042940994749,0.9451983814017667
mistral-7b,fever,probe_mlp,29,0.9466333124869711,0.013131553677734865,0.8541666666666666,0.8513735586906318,0.9457625240282931
mistral-7b,fever,probe_mlp,30,0.9393370856785491,0.011699991828561391,0.8375,0.8404767394938606,0.9414521473235925
mistral-7b,fever,probe_mlp,31,0.9372524494475712,0.017720634177488776,0.85,0.8487477954144621,0.9402489272366911
